82,Tuberkulózna meningitída (G01*),Infekčné a parazitové choroby
83,Meningový tuberkulóm (G07*),Infekčné a parazitové choroby
84,Iná tuberkulóza nervovej sústavy,Infekčné a parazitové choroby
85,"Tuberkulóza nervovej sústavy, bližšie neurčená",Infekčné a parazitové choroby
86,Tuberkulóza kostí a kĺbov,Infekčné a parazitové choroby
521,Iná vírusová konjunktivitída (H13.1*),Infekčné a parazitové choroby
522,"Vírusová konjunktivitída, bližšie neurčená",Infekčné a parazitové choroby
523,Epidemická pleurodýnia,Infekčné a parazitové choroby
524,Choroba Ross River,Infekčné a parazitové choroby
525,Vírusová karditída,Infekčné a parazitové choroby
526,"Retrovírusová infekcia, nezatriedená inde",Infekčné a parazitové choroby
527,Hantavírusový pulmonálny (kardiopulmonálny) syndróm (J17.1*),Infekčné a parazitové choroby
528,"Iná vírusová choroba, bližšie určená",Infekčné a parazitové choroby
529,Adenovírusová infekcia bez bližšieho určenia miesta,Infekčné a parazitové choroby
530,Enterovírusová infekcia bez bližšieho určenia miesta,Infekčné a parazitové choroby
531,Koronavírusová infekcia bez bližšieho určenia miesta,Infekčné a parazitové choroby
532,Parvovírusová infekcia bez bližšieho určenia miesta,Infekčné a parazitové choroby
533,Papovavírusová infekcia bez bližšieho určenia miesta,Infekčné a parazitové choroby
534,Iná vírusová infekcia bez bližšieho určenia miesta,Infekčné a parazitové choroby
535,"Bližšie neurčená vírusová infekcia, bez bližšieho určenia miesta",Infekčné a parazitové choroby
536,Tinea barbae a tinea capitis,Infekčné a parazitové choroby
537,Tinea unguium,Infekčné a parazitové choroby
538,Tinea manuum,Infekčné a parazitové choroby
539,Tinea pedis,Infekčné a parazitové choroby
540,Tinea corporis,Infekčné a parazitové choroby
541,Tinea imbricata,Infekčné a parazitové choroby
542,Tinea cruris,Infekčné a parazitové choroby
543,Iná dermatofytóza,Infekčné a parazitové choroby
544,"Dermatofytóza, bližšie neurčená",Infekčné a parazitové choroby
545,Pityriasis versicolor,Infekčné a parazitové choroby
546,Tinea nigra,Infekčné a parazitové choroby
547,Piedra alba,Infekčné a parazitové choroby
548,Piedra nigra,Infekčné a parazitové choroby
